"relative_path","status","category","size_bytes","note"
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ti\quadrigrams.json","active","json","125726","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ti\trigrams.json","active","json","133728","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ti\unigrams.json","active","json","3159","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tl\bigrams.json","active","json","12758","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tl\fivegrams.json","active","json","918589","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tl\quadrigrams.json","active","json","517525","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tl\trigrams.json","active","json","132048","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tl\unigrams.json","active","json","706","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tn\bigrams.json","active","json","7098","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tn\fivegrams.json","active","json","144457","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tn\quadrigrams.json","active","json","98459","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tn\trigrams.json","active","json","39848","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tn\unigrams.json","active","json","593","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tr\bigrams.json","active","json","36757","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tr\fivegrams.json","active","json","2721811","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tr\quadrigrams.json","active","json","1311148","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tr\trigrams.json","active","json","337555","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\tr\unigrams.json","active","json","1361","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ts\bigrams.json","active","json","8254","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ts\fivegrams.json","active","json","181314","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ts\quadrigrams.json","active","json","129793","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ts\trigrams.json","active","json","53538","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ts\unigrams.json","active","json","650","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\uk\bigrams.json","active","json","24616","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\uk\fivegrams.json","active","json","3683641","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\uk\quadrigrams.json","active","json","1531873","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\uk\trigrams.json","active","json","305200","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\uk\unigrams.json","active","json","947","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ur\bigrams.json","active","json","36416","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ur\fivegrams.json","active","json","2913442","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ur\quadrigrams.json","active","json","1549950","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ur\trigrams.json","active","json","383728","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\ur\unigrams.json","active","json","1385","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\vi\bigrams.json","active","json","50439","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\vi\fivegrams.json","active","json","706908","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\vi\quadrigrams.json","active","json","544453","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\vi\trigrams.json","active","json","270664","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\vi\unigrams.json","active","json","2427","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\xh\bigrams.json","active","json","10102","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\xh\fivegrams.json","active","json","564759","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\xh\quadrigrams.json","active","json","284472","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\xh\trigrams.json","active","json","82536","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\xh\unigrams.json","active","json","677","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\yo\bigrams.json","active","json","19866","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\yo\fivegrams.json","active","json","240097","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\yo\quadrigrams.json","active","json","208221","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\yo\trigrams.json","active","json","115216","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\yo\unigrams.json","active","json","1247","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zh\unigrams.json","active","json","81102","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zu\bigrams.json","active","json","11687","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zu\fivegrams.json","active","json","927545","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zu\quadrigrams.json","active","json","419124","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zu\trigrams.json","active","json","106141","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\main\resources\language-models\zu\unigrams.json","active","json","676","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\api\io\LanguageModelFilesWriterTest.kt","active","misc","10461","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\api\io\TestDataFilesWriterTest.kt","active","misc","9911","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\api\LanguageDetectorBuilderTest.kt","active","misc","12857","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\api\LanguageDetectorTest.kt","active","misc","39352","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\api\LanguageTest.kt","active","misc","13987","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\internal\FractionTest.kt","active","misc","5425","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\internal\NgramTest.kt","active","misc","5480","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\internal\TestDataLanguageModelTest.kt","active","misc","4337","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\kotlin\com\github\pemistahl\lingua\internal\TrainingDataLanguageModelTest.kt","active","misc","14342","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\test\resources\junit-platform.properties","active","misc","684","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.devcontainer\presidio-analyzer\devcontainer.json","active","json","670","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.devcontainer\presidio-analyzer-transformers\devcontainer.json","active","json","827","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.devcontainer\presidio-anonymizer\devcontainer.json","active","json","634","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.devcontainer\presidio-image-redactor\devcontainer.json","active","json","650","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.env","active","misc","43","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\CODEOWNERS","active","misc","163","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\copilot-instructions.md","active","doc","13980","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\dependabot.yml","active","yaml","2113","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\github-repo-stats.yml","active","yaml","606","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\ISSUE_TEMPLATE\bug_report.md","active","doc","562","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\ISSUE_TEMPLATE\feature-request.md","active","doc","615","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\ISSUE_TEMPLATE\general-questions.md","active","doc","161","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\pipelines\requirements-build.txt","active","text","842","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\pipelines\requirements-ruff.txt","active","text","1789","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\PULL_REQUEST_TEMPLATE.md","active","doc","416","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\ci.yml","active","yaml","15958","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\codeql-analysis.yml","active","yaml","4933","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\defender-for-devops.yml","active","yaml","2330","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\label-external.yml","active","yaml","2493","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\release.yml","active","yaml","5256","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.github\workflows\release-docs.yml","active","yaml","942","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.gitignore","active","misc","1747","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\.pre-commit-config.yaml","active","yaml","159","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\CHANGELOG.md","active","doc","37433","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\CODE_OF_CONDUCT","active","misc","453","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\CONTRIBUTING.md","active","doc","5871","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docker-compose.yml","active","yaml","1509","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docker-compose-image.yml","active","yaml","236","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docker-compose-text.yml","active","yaml","431","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docker-compose-transformers.yml","active","yaml","553","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\ahds_integration.md","active","doc","6771","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\adding_recognizers.md","active","doc","11593","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\analyzer_engine_provider.md","active","doc","7986","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\customizing_nlp_models.md","active","doc","6006","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\decision_process.md","active","doc","6753","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\developing_recognizers.md","active","doc","5402","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\index.md","active","doc","9086","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\languages.md","active","doc","4084","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\languages-config.yml","active","yaml","568","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\nlp_engines\gpu_usage.md","active","doc","4196","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\nlp_engines\spacy_stanza.md","active","doc","3864","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\nlp_engines\transformers.md","active","doc","9675","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\analyzer\recognizer_registry_provider.md","active","doc","4986","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\anonymizer\adding_operators.md","active","doc","1271","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\anonymizer\index.md","active","doc","17186","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api.md","active","doc","362","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api\analyzer_python.md","active","doc","1569","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api\anonymizer_python.md","active","doc","85","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api\image_redactor_python.md","active","doc","138","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api\structured_python.md","active","doc","81","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api-docs\api-docs.html","active","misc","1521","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\api-docs\api-docs.yml","active","yaml","26645","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\analyze-anonymize.png","active","misc","60243","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\analyzer-design.png","active","misc","66040","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\anonymizer-design.png","active","misc","42884","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\before-after.png","active","misc","75476","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\changing_text.gif","active","misc","3685501","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\demo.gif","active","misc","285999","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\detection_flow.gif","active","misc","2965082","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\dicom-image-redactor-design.png","active","misc","89583","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\findings.png","active","misc","84105","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\image-redactor-design.png","active","misc","253482","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\ms_icon.png","active","misc","2323","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\ocr-example.png","active","misc","352395","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\presidio_gif.gif","active","misc","592247","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\recognizers_class_diagram.png","active","misc","20166","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\assets\spacy-transformers-ner.png","active","misc","21982","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\build_release.md","active","doc","4390","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\community.md","active","doc","3916","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\design.md","active","doc","458","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\development.md","active","doc","9569","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\evaluation\index.md","active","doc","3764","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\faq.md","active","doc","10610","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\getting_started.md","active","doc","656","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\getting_started\getting_started_images.md","active","doc","2684","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\getting_started\getting_started_structured.md","active","doc","1858","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\getting_started\getting_started_text.md","active","doc","5700","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\image-redactor\evaluating_dicom_redaction.md","active","doc","5986","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\image-redactor\index.md","active","doc","9642","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\image-redactor\ocr_text.png","active","misc","39200","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\index.md","active","doc","4032","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\installation.md","active","doc","5002","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\learn_presidio\concepts.md","active","doc","8244","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\learn_presidio\index.md","active","doc","1326","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\NOTICE","active","misc","16406","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\presidio_V2.md","active","doc","6330","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\recipes\CONTRIBUTING.md","active","doc","4554","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\recipes\index.md","active","doc","6402","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\recipes\template.md","active","doc","2927","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\requirements-docs.txt","active","text","199","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\app-service\index.md","active","doc","4868","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\app-service\presidio-app-service.json","active","json","6653","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\app-service\presidio-services.json","active","json","13044","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\app-service\values.json","active","json","392","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\data-factory\arm-templates\azure-deploy-adf-app-service.json","active","json","29580","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\presidio\docs\samples\deployments\data-factory\arm-templates\azure-deploy-adf-databricks.json","active","json","25426","Current configuration or metadata artifact in the workspace."
